id,license id,account number,site number,legal name,doing business as name,address,city,state,zip code,ward,precinct,ward precinct,police district,license code,license description,business activity id,business activity,license number,application type,application created date,application requirements complete,payment date,conditional approval,license term start date,license term expiration date,license approved for issuance,date issued,license status,license status change date,ssa,latitude,longitude,location
1043863-20160416,2447327,2126,50,"FASHION GALLERY, INC.",RAINBOW #643,7131 S JEFFERY BLVD,CHICAGO,IL,60649,5,54,5-54,3,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1043863,RENEW,,02/15/2016,04/06/2016,N,04/16/2016,04/15/2018,04/06/2016,04/07/2016,AAI,,42,41.765189524,-87.576133104,"(41.765189524327816, -87.57613310396634)"
1740874-20160416,2447338,2126,78,"FASHION GALLERY, INC.",RAINBOW,7131 S JEFFERY BLVD  G,CHICAGO,IL,60649,5,54,5-54,3,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1740874,RENEW,,02/15/2016,04/06/2016,N,04/16/2016,04/15/2018,04/06/2016,04/07/2016,AAI,,42,41.765189524,-87.576133104,"(41.765189524327816, -87.57613310396634)"
2216424-20150616,2392229,3961,5,"U-HAUL CO. OF ILLINOIS, INC.",U-HAUL SOUTH SHORE MOVING CTR,1650 E 71ST ST  1,CHICAGO,IL,60649,5,21,5-21,3,4404,Regulated Business License,816,Storage or Use of Hazardous Materials,2216424,RENEW,,04/15/2015,05/12/2015,N,06/16/2015,06/15/2017,05/12/2015,05/13/2015,AAI,,42,41.766273548,-87.583973481,"(41.76627354780889, -87.58397348056488)"
2252448-20161216,2493399,3996,1,DEVELOPMENTAL INSTITUTE INC,DEVELOPMENTAL INSTITUTE INC,7037 S STONY ISLAND AVE,CHICAGO,IL,60649,5,21,5-21,3,1023,Children's Services Facility License,820,"Supervision of, and Care for, Children 0-6 Years of Age, During the Day Between 6am-9pm",2252448,RENEW,,10/15/2016,11/16/2016,N,12/16/2016,12/15/2018,12/10/2016,12/12/2016,AAI,,42,41.766830331,-87.585793979,"(41.76683033051137, -87.58579397948077)"
2204257-20161216,2493418,6093,1,"WATERFRONT TERRACE, INC.",WATERFRONT TERRACE INC,7750 S SOUTH SHORE DR,CHICAGO,IL,60649,7,65,7-65,4,4404,Regulated Business License,699,Long Term Care Facility,2204257,RENEW,,10/15/2016,11/14/2016,N,12/16/2016,12/15/2018,11/14/2016,11/15/2016,AAI,,,41.755849376,-87.552384739,"(41.75584937590127, -87.55238473905501)"
15583-20161216,2493433,6728,1,"BOB YON, INC DBA HOUSE OF OF BING",THE HOUSE OF BING,6930 S SOUTH SHORE DR  1,CHICAGO,IL,60649,5,29,5-29,3,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,15583,RENEW,,10/15/2016,12/10/2016,N,12/16/2016,12/15/2018,12/10/2016,12/12/2016,AAI,,,41.76896052,-87.566670537,"(41.76896052011414, -87.56667053733712)"
15582-20161216,2493432,6728,1,"BOB YON, INC DBA HOUSE OF OF BING",THE HOUSE OF BING,6930 S SOUTH SHORE DR  1,CHICAGO,IL,60649,5,29,5-29,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,15582,RENEW,,10/15/2016,12/10/2016,N,12/16/2016,12/15/2018,12/10/2016,12/12/2016,AAI,,,41.76896052,-87.566670537,"(41.76896052011414, -87.56667053733712)"
16666-20161216,2493434,6910,1,A. K. I. INCORPORATED,BUDGET FOOD & LIQUOR,2504 E 79TH ST,CHICAGO,IL,60649,7,17,7-17,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,16666,RENEW,,10/15/2016,11/07/2016,N,12/16/2016,12/15/2018,11/07/2016,11/08/2016,AAI,,49,41.751876222,-87.563581182,"(41.751876222428905, -87.56358118181382)"
16667-20161216,2493435,6910,1,A. K. I. INCORPORATED,BUDGET FOOD & LIQUOR,2504 E 79TH ST,CHICAGO,IL,60649,7,17,7-17,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,16667,RENEW,,10/15/2016,11/07/2016,N,12/16/2016,12/15/2018,11/07/2016,11/08/2016,AAI,,49,41.751876222,-87.563581182,"(41.751876222428905, -87.56358118181382)"
16668-20161216,2493436,6910,1,A. K. I. INCORPORATED,BUDGET FOOD & LIQUOR,2504 E 79TH ST,CHICAGO,IL,60649,7,17,7-17,4,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,16668,RENEW,,10/15/2016,11/07/2016,N,12/16/2016,12/15/2018,11/07/2016,11/08/2016,AAI,,49,41.751876222,-87.563581182,"(41.751876222428905, -87.56358118181382)"
2240037-20150616,2392329,7049,52,"DOLLAR TREE STORES, INC.",DOLLAR TREE,7158 S STONY ISLAND AVE,CHICAGO,IL,60649,7,9,7-9,3,1006,Retail Food Establishment,904 | 775,Retail Sales of General Merchandise | Retail Sales of Perishable Foods,2240037,RENEW,,04/15/2015,05/15/2015,N,06/16/2015,06/15/2017,05/15/2015,05/18/2015,AAI,,42,41.764276868,-87.586428542,"(41.76427686822517, -87.58642854152318)"
19480-20161216,2493449,7944,1,MALKIEH INC,SOUTH SHORE FOOD & LIQUORS,2400 E 75TH ST,CHICAGO,IL,60649,7,48,7-48,3,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,19480,RENEW,,10/15/2016,12/12/2016,N,12/16/2016,12/15/2018,12/12/2016,12/12/2016,AAI,,49,41.759098297,-87.566314986,"(41.75909829728623, -87.56631498603433)"
19477-20161216,2493448,7944,1,MALKIEH INC,SOUTH SHORE FOOD & LIQUORS,2400 E 75TH ST,CHICAGO,IL,60649,7,48,7-48,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,19477,RENEW,,10/15/2016,12/12/2016,N,12/16/2016,12/15/2018,12/12/2016,12/12/2016,AAI,,49,41.759098297,-87.566314986,"(41.75909829728623, -87.56631498603433)"
19479-20161216,2493447,7944,1,MALKIEH INC,SOUTH SHORE FOOD & LIQUORS,2400 E 75TH ST,CHICAGO,IL,60649,7,48,7-48,3,1474,Package Goods,774,Retail Sales of Packaged Liquor,19479,RENEW,,10/15/2016,12/12/2016,N,12/16/2016,12/15/2018,12/12/2016,12/12/2016,AAI,,49,41.759098297,-87.566314986,"(41.75909829728623, -87.56631498603433)"
2391556-20160516,2453453,10232,25,"PIZZA HUT OF AMERICA, LLC",PIZZA HUT  317253,6700 S STONY ISLAND AVE 1ST,CHICAGO,IL,60649,5,5,5-5,3,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2391556,RENEW,,03/15/2016,04/12/2016,N,05/16/2016,05/15/2018,04/12/2016,06/23/2016,AAC,08/02/2016,42,41.773292896,-87.586442368,"(41.77329289585066, -87.58644236831432)"
1145506-20151116,2424356,11071,7,"FAMILY DOLLAR, INC.",FAMILY DOLLAR #1708,2660 E 79TH ST 1ST #,CHICAGO,IL,60649,7,3,7-3,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1145506,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,49,41.751937934,-87.559086946,"(41.75193793360491, -87.55908694571022)"
2146913-20151116,2424357,11071,7,"FAMILY DOLLAR, INC.",FAMILY DOLLAR #1708,2660 E 79TH ST 1ST #,CHICAGO,IL,60649,7,3,7-3,4,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,2146913,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,49,41.751937934,-87.559086946,"(41.75193793360491, -87.55908694571022)"
2146920-20151116,2424377,11071,23,"FAMILY DOLLAR, INC.",FAMILY DOLLAR # 4666,2159 E 71ST ST,CHICAGO,IL,60649,5,54,5-54,3,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,2146920,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,42,41.766010712,-87.571518746,"(41.76601071201035, -87.57151874606954)"
1143063-20151116,2424376,11071,23,"FAMILY DOLLAR, INC.",FAMILY DOLLAR # 4666,2159 E 71ST ST,CHICAGO,IL,60649,5,54,5-54,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1143063,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,42,41.766010712,-87.571518746,"(41.76601071201035, -87.57151874606954)"
2147134-20151116,2424435,11071,66,"FAMILY DOLLAR, INC.",FAMILY DOLLAR STORE #6542,2346 E 79TH ST,CHICAGO,IL,60649,7,57,7-57,4,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,2147134,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,49,41.751830033,-87.566802124,"(41.751830032952626, -87.5668021239172)"
1547038-20151116,2424434,11071,66,"FAMILY DOLLAR, INC.",FAMILY DOLLAR STORE #6542,2346 E 79TH ST,CHICAGO,IL,60649,7,57,7-57,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1547038,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,49,41.751830033,-87.566802124,"(41.751830032952626, -87.5668021239172)"
2147144-20151116,2424470,11071,109,"FAMILY DOLLAR, INC.",FAMILY DOLLAR STORE # 7294,1425 E 71ST ST,CHICAGO,IL,60619,8,9,8-9,3,1781,Tobacco Retail Over Counter,763,Retail Sale of Tobacco,2147144,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,42,41.765859671,-87.590014885,"(41.76585967052067, -87.59001488471206)"
1698569-20151116,2424471,11071,109,"FAMILY DOLLAR, INC.",FAMILY DOLLAR STORE # 7294,1425 E 71ST ST,CHICAGO,IL,60619,8,9,8-9,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1698569,RENEW,,09/15/2015,11/13/2015,N,11/16/2015,11/15/2017,11/13/2015,11/20/2015,AAI,,42,41.765859671,-87.590014885,"(41.76585967052067, -87.59001488471206)"
49671-20161216,2493582,17204,1,"NEW CHINA EXPRESS, INC","NEW CHINA EXPRESS, INC",2101 E 71ST ST,CHICAGO,IL,60649,5,54,5-54,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,49671,RENEW,,10/15/2016,11/01/2016,N,12/16/2016,12/15/2018,11/01/2016,11/02/2016,AAI,,42,41.765990001,-87.573787337,"(41.765990001140594, -87.57378733665412)"
54058-20161216,2493610,17928,1,SOUTH SHORE SELF STORAGE INC,SOUTH SHORE SELF STORAGE INC,7843 S EXCHANGE AVE,CHICAGO,IL,60649,7,14,7-14,4,1010,Limited Business License,,,54058,RENEW,,10/15/2016,10/27/2016,N,12/16/2016,12/15/2018,10/27/2016,10/28/2016,AAI,,49,41.752890202,-87.553141529,"(41.752890201960035, -87.55314152905173)"
56535-20161216,2493613,18335,2,JIN MING LIANG,MING'S CHOP SUEY,7114 S YATES BLVD,CHICAGO,IL,60649,5,54,5-54,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,56535,RENEW,,10/15/2016,11/08/2016,N,12/16/2016,12/15/2018,11/08/2016,11/09/2016,AAI,,42,41.765671112,-87.566653173,"(41.76567111158839, -87.5666531727112)"
59894-20150416,2380780,18945,16,"RENT-A-CENTER EAST, INC.",RENT-A-CENTER #D60,2009 E 71ST ST 1ST,CHICAGO,IL,60649,5,54,5-54,3,1010,Limited Business License,,,59894,RENEW,,02/15/2015,04/01/2015,N,04/16/2015,04/15/2017,04/01/2015,04/02/2015,AAI,,42,41.76596207,-87.575920149,"(41.76596207000141, -87.57592014894551)"
61393-20161216,2493622,19396,1,EDDIE RACK HEATING INC,EDDIE RACK HEATING INC,7256 S EXCHANGE AVE,CHICAGO,IL,60649,7,40,7-40,3,1010,Limited Business License,902 | 901,"Heating, Ventilation and Air Conditioning Services - Commercial | Heating, Ventilation and Air Conditioning Services - Residential",61393,RENEW,,10/15/2016,10/31/2016,N,12/16/2016,12/15/2018,10/31/2016,11/01/2016,AAI,,49,41.763004199,-87.564013287,"(41.76300419942154, -87.56401328684147)"
61624-20161216,2493623,19490,1,"BALASKAS FAMILY RESTAURANT,INC",L & G RESTAURANT,2632 E 75TH ST 1ST,CHICAGO,IL,60649,7,23,7-23,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,61624,RENEW,,10/15/2016,11/22/2016,N,12/16/2016,12/15/2018,11/22/2016,11/23/2016,AAI,,49,41.759211101,-87.560159804,"(41.75921110106244, -87.56015980444218)"
1596426-20161216,2493626,20662,4,SOK CHAN HONG,WILSON COMMUNICATIONS,2052 E 71ST ST,CHICAGO,IL,60649,5,40,5-40,3,1010,Limited Business License,,,1596426,RENEW,,10/15/2016,11/26/2016,N,12/16/2016,12/15/2018,11/26/2016,11/28/2016,AAI,,42,41.766370807,-87.574156908,"(41.76637080700818, -87.5741569077431)"
70024-20161016,2484692,21321,1,"PRODUCTION TOOL COMPANIES,LLC",PRODUCTION TOOL CORP OF/WIS LL,1229  -01241 E 74TH ST 1ST,CHICAGO,IL,60619,8,50,8-50,3,1009,Manufacturing Establishments,817,Storage or Use of Hazardous Materials (MFG),70024,RENEW,,08/15/2016,09/15/2016,N,10/16/2016,10/15/2018,09/15/2016,09/16/2016,AAI,,,41.760413637,-87.59382777,"(41.76041363669296, -87.59382776989756)"
2216881-20161216,2493639,21624,2,"PURNI AUTOMOTIVE SYSTEMS, INC.",MIDAS AUTO SYSTEM EXPERTS,7257 S STONY ISLAND AVE  1ST,CHICAGO,IL,60649,7,49,7-49,3,8340,Motor Vehicle Services License,712,Motor Vehicle Repair - Engine and Transmission Work,2216881,RENEW,,10/15/2016,11/28/2016,N,12/16/2016,12/15/2018,11/28/2016,11/29/2016,AAI,,42,41.762519519,-87.585688103,"(41.762519518828604, -87.58568810280818)"
2216882-20161216,2493640,21624,4,"PURNI AUTOMOTIVE SYSTEMS, INC.",MIDAS AUTO SYSTEMS EXPERT,7419 S STONY ISLAND AVE,CHICAGO,IL,60649,8,57,8-57,3,8340,Motor Vehicle Services License,712,Motor Vehicle Repair - Engine and Transmission Work,2216882,RENEW,,10/15/2016,11/28/2016,N,12/16/2016,12/15/2018,11/28/2016,11/29/2016,AAI,,42,41.759980973,-87.585617355,"(41.75998097288625, -87.58561735476432)"
270-20161216,2493649,24021,1,C & F II Inc,EXCHANGE TAP,7159 S EXCHANGE AVE 1ST,CHICAGO,IL,60649,7,40,7-40,3,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,270,RENEW,,10/15/2016,12/07/2016,N,12/16/2016,12/15/2018,12/07/2016,12/08/2016,AAI,,49,41.76484807,-87.565045139,"(41.76484806989517, -87.56504513907144)"
2377-20161216,2493655,24390,1,ALLAN LOWERY,HAIR,2220 E 79TH ST,CHICAGO,IL,60649,7,57,7-57,4,1010,Limited Business License,894,Hair Services,2377,RENEW,,10/15/2016,12/13/2016,N,12/16/2016,12/15/2018,12/13/2016,12/14/2016,AAI,,49,41.751789466,-87.570203343,"(41.751789465876264, -87.57020334256399)"
1332391-20161216,2493656,24401,2,J JS HAIR SALON,J J'S HAIR SALON,1959 E 73RD ST,CHICAGO,IL,60649,5,6,5-6,3,1010,Limited Business License,894,Hair Services,1332391,RENEW,,10/15/2016,10/28/2016,N,12/16/2016,12/15/2018,10/28/2016,10/31/2016,AAI,,,41.762395315,-87.576994034,"(41.762395315211485, -87.57699403361276)"
2213789-20161216,2493663,24659,1,ROSECO AUTO REBUILDERS INC,ROSECO AUTO REBUILDERS INC,7410 S STONY ISLAND AVE,CHICAGO,IL,60649,8,50,8-50,3,8340,Motor Vehicle Services License,711,Motor Vehicle Repair - Engine and Body Work,2213789,RENEW,,10/15/2016,11/04/2016,N,12/16/2016,12/15/2018,11/04/2016,11/07/2016,AAI,,42,41.760225608,-87.586322035,"(41.760225608371194, -87.58632203456536)"
2204498-20161216,2493666,24785,1,JACKSON PARK HOSPITAL,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE  264,CHICAGO,IL,60649,8,20,8-20,4,4404,Regulated Business License,232,General Medical and Surgical Hospitals,2204498,RENEW,,10/15/2016,11/18/2016,N,12/16/2016,12/15/2018,11/18/2016,11/21/2016,AAI,,42,41.757815422,-87.585569222,"(41.757815422071765, -87.58556922151126)"
1243987-20161216,2493667,24785,1,JACKSON PARK HOSPITAL,JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE  264,CHICAGO,IL,60649,8,20,8-20,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1243987,RENEW,,10/15/2016,11/18/2016,N,12/16/2016,12/15/2018,11/18/2016,11/21/2016,AAI,,42,41.757815422,-87.585569222,"(41.757815422071765, -87.58556922151126)"
2184529-20161016,2484734,24900,1,JAGJIT BRAR,DORCHESTER ANIMAL HOSPITAL,1400 E 75TH ST 1ST,CHICAGO,IL,60619,8,50,8-50,3,1032,Animal Care License,857,Operate a Veterinary Hospital,2184529,RENEW,,08/15/2016,10/06/2016,N,10/16/2016,10/15/2018,10/06/2016,10/06/2016,AAI,,,41.758834131,-87.590740863,"(41.758834131342915, -87.59074086260878)"
2215475-20161216,2493678,25205,1,"STAIR STEP VILLA NURSERY SCHOOL & KINDERGARTEN, INC.",STAIR STEP VILLA NURSERY & KINDERGARTEN,6725 S JEFFERY BLVD 1ST,CHICAGO,IL,60649,5,31,5-31,3,1023,Children's Services Facility License,822 | 823,"Supervision of, and Care for Children, During the Evening Between 9pm-6am | Supervision of, and Care for, Children 2-6 Years of Age, During the Day Between 6am-9pm",2215475,RENEW,,10/15/2016,11/16/2016,N,12/16/2016,12/15/2018,12/10/2016,12/12/2016,AAI,,,41.772686675,-87.576328144,"(41.772686674997274, -87.57632814441791)"
6722-20161216,2493685,25483,1,CAGE MEMORIAL CHAPLE,CAGE MEMORIAL CHAPEL,7651 S JEFFERY BLVD  1ST,CHICAGO,IL,60649,8,60,8-60,4,1010,Limited Business License,,,6722,RENEW,,10/15/2016,10/26/2016,N,12/16/2016,12/15/2018,10/26/2016,10/27/2016,AAI,,,41.755560085,-87.575926076,"(41.75556008530959, -87.57592607602257)"
1933606-20161216,2493701,25891,2,71ST & JEFFERY CURRENCY EXC,71st & JEFFERY CURRENCY EXCHANGE,7100 S JEFFERY BLVD 1,CHICAGO,IL,60649,5,42,5-42,3,1010,Limited Business License,708,Miscellaneous Commercial Services,1933606,RENEW,,10/15/2016,11/17/2016,N,12/16/2016,12/15/2018,11/17/2016,11/18/2016,AAI,,42,41.76602778,-87.576443123,"(41.7660277795161, -87.57644312277864)"
11047-20161216,2493718,26635,1,PATRICIA E YOUNG,PATRICIA E YOUNG,2204 E 75TH ST 1ST,CHICAGO,IL,60649,7,50,7-50,3,1010,Limited Business License,894,Hair Services,11047,RENEW,,10/15/2016,11/02/2016,N,12/16/2016,12/15/2018,11/02/2016,11/03/2016,AAI,,49,41.759046317,-87.571016956,"(41.759046316503984, -87.57101695565889)"
2298762-20161216,2493727,27400,2,I C SHINE INC,"I C SHINE, INC.",2530 E 75TH ST 1ST,CHICAGO,IL,60649,7,23,7-23,3,1010,Limited Business License,807,Shoe / Leather Goods Repair,2298762,RENEW,,10/15/2016,11/30/2016,N,12/16/2016,12/15/2018,11/30/2016,12/01/2016,AAI,,49,41.759157161,-87.561809434,"(41.75915716081255, -87.5618094344621)"
15196-20161216,2493733,27697,1,SOUTH SHORE PLMBNG & HTNG SUP,SOUTH SHORE PLMBNG & HTNG SUPP,7256 S EXCHANGE AVE 1ST,CHICAGO,IL,60649,7,40,7-40,3,1010,Limited Business License,925,Miscellaneous Wholesale,15196,RENEW,,10/15/2016,10/27/2016,N,12/16/2016,12/15/2018,10/27/2016,10/28/2016,AAI,,49,41.763004199,-87.564013287,"(41.76300419942154, -87.56401328684147)"
32465-20161216,2493738,27966,1,JOHN MORGAN,HOUSE OF NIA,2044 E 79TH ST 1ST,CHICAGO,IL,60649,8,28,8-28,4,1010,Limited Business License,894,Hair Services,32465,RENEW,,10/15/2016,11/07/2016,N,12/16/2016,12/15/2018,11/07/2016,11/08/2016,AAI,,50,41.751738964,-87.574199062,"(41.751738964253704, -87.57419906234598)"
17155-20161216,2493742,28242,1,EVERETT SULLIVAN,SULLIVAN'S FASHIONS,2524 E 75TH ST 1ST,CHICAGO,IL,60649,7,23,7-23,3,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,17155,RENEW,,10/15/2016,12/15/2016,N,12/16/2016,12/15/2018,12/15/2016,12/16/2016,AAI,,49,41.759153775,-87.562047094,"(41.759153774816305, -87.562047093626)"
38307-20150416,2380951,28305,1,KENNETH GOENS,FASHION -N- STYLE,6904 S STONY ISLAND AVE 1ST,CHICAGO,IL,60649,5,10,5-10,3,1010,Limited Business License,894,Hair Services,38307,RENEW,,02/15/2015,03/31/2015,N,04/16/2015,04/15/2017,03/31/2015,04/01/2015,AAI,,42,41.769540886,-87.586380448,"(41.76954088644198, -87.58638044840653)"
17985-20161216,2493745,28462,1,MICHAEL ADRIAN HUNTER,IVY LEAGUE TUTORING,7134 S JEFFERY BLVD  STORE,CHICAGO,IL,60649,5,42,5-42,3,1010,Limited Business License,,,17985,RENEW,,10/15/2016,12/15/2016,N,12/16/2016,12/15/2018,12/15/2016,12/16/2016,AAI,,42,41.765069766,-87.576423292,"(41.765069765597794, -87.57642329235377)"
2299468-20161216,2493754,28757,2,RALPH'S HEATING SERV INC,RALPH'S HEATING & AIR CONDITIONING,2714 E 79TH ST FIRST,CHICAGO,IL,60649,7,,7-,,4404,Regulated Business License,902 | 901 | 673,"Heating, Ventilation and Air Conditioning Services - Commercial | Heating, Ventilation and Air Conditioning Services - Residential | Home Repair Services",2299468,RENEW,,10/15/2016,10/26/2016,N,12/16/2016,12/15/2018,10/26/2016,10/27/2016,AAI,,49,41.751954794,-87.557781836,"(41.75195479408711, -87.55778183630228)"
2215529-20161216,2493758,29248,1,SOUTH SHORE UNITED METHODIST,SO SHORE UNITED METHODIST CHIL,7350 S JEFFERY BLVD 1ST,CHICAGO,IL,60649,7,6,7-6,3,1023,Children's Services Facility License,823,"Supervision of, and Care for, Children 2-6 Years of Age, During the Day Between 6am-9pm",2215529,RENEW,,10/15/2016,12/07/2016,N,12/16/2016,12/15/2018,12/10/2016,12/12/2016,AAI,,,41.760992275,-87.576334625,"(41.7609922754584, -87.57633462503817)"
23386-20161216,2493762,29725,1,"JEFFRO FURNITURE CO, INC.","JEFFRO FURNITURE CO, INC.",1943-1945 E 71ST ST  1,CHICAGO,IL,60649,5,42,5-42,3,1010,Limited Business License,,,23386,RENEW,,10/15/2016,12/03/2016,N,12/16/2016,12/15/2018,12/03/2016,12/12/2016,AAI,,42,41.765953052,-87.577052834,"(41.765953051690474, -87.57705283424897)"
