Name,BuildingNumber,Fraction,Street,Unit,City,Zip Code,GeoArea,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,Note,PhoneNumber,Email,Website
Subway,7358,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-288-3232,,
Subway,2101,,E 71st St,Ste I,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-643-0932,,
Subway,6718,,S Stony Island Ave,,Chicago,60637,South Shore,Active,Dining,Fast Food,False,,,,
Surf's Up,2236,,E 71st St,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,,,
Taco Bell,7856,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-221-5501,,
Super Steak,1914,,E 79th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-221-8000,,
That's a Burger,2134,,E 71st St,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,773-493-2080,,
The Banana Leaf Restaurant,1948,,E 79th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-359-4290,,
Wade's Chicken Fish Fish & Gyro,2403,,E 75th St,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,773-221-7800,,
Wings 'N' Fins,1751,,E 75th St,,Chicago,60649,South Shore,Active,Dining,Fast Food,True,,773-256-0800,,
Yup! Chicken and Seafood,6922,,S Stony Island Ave,,Chicago,60649,South Shore,Out of Business,Dining,Fast Food,False,,773-966-6410,,
Flash Taco,2247,,E 71st St,,Chicago,60636,South Shore,Active,Dining,Fast Food,False,,,,
Royal Caribbean Jerk,7269,,S Exchange Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-359-2161,,
Hoagy House,7116,,S Yates Blvd,,Chicago,60638,South Shore,Active,Dining,Fast Food,False,,,,
Rainbow Beach Sub Shop,7520,,S Exchange Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-978-2200,,
Seashell Fish and Chicken,7131,,S Jeffery Ave,K2,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-493-7777,,
See Thru Chinese Kitchen,6720,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-752-6862,,
See Thru Chinese Kitchen,7613,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-731-1828,,
Shark's Fish & Chicken,1734,,E 71st St,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,,,
Baba's Famous Steak & Lemonade,2101,,E 71st St,Ste K,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-324-9000,,
Ming Chop Suey,7114,,S Yates Blvd,,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,773-752-6588,,
Parrot Cage Restaurant,7059,,S South Shore Dr,,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,773-602-5333,,
L & G Family Restaurant,7464,,S Exchange Ave,,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,773-731-5399,,
L & G Family Restaurant,2632,,E 75th St,,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,,,
Good Foods Vegan/Vegetarian Deli,1966,,E 73rd St,,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,,,
Italian Fiesta Pizzeria,1919,,E 71st St,,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,773-684-2222,,
House of Bing,6930,,S South Shore Dr,Ofc,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,773-363-5400,,
Chef Sara's Cafe,7201,,S Exchange Ave,,Chicago,60649,South Shore,Active,Dining,Restaurant,False,,773-359-4637,,
The Exchange Tap,7159,,S Exchange Ave,,Chicago,60649,South Shore,Active,Dining,Bar-grill,False,,773-734-9785,,
Starbucks Coffee,7101,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Café-Bakery-Specialty,False,,773-643-6520,,
Give Me Some Sugah,2234,,E 71st St,,Chicago,60649,South Shore,Active,Dining,Café-Bakery-Specialty,False,,773-363-9330,,
Isaiah Paul,7000,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Dining,Other,True,,940-247-2424,,
1 Chop Suey,7342,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Dining,Fast Food,False,,773-643-3888,,
Galaxy Food and Cellular,2708,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Convenience,False,,,,
Z & S Market Express,1728,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Convenience,False,,773-374-8199,,
Zee Wireless,7344,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Convenience,False,,773-966-5395,,
South Shore Food & Liquor,2400,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Convenience,False,,773-731-5166,,
South Shore Mini Pantry,7447,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Retail,Convenience,True,,,,
National Mart,7337,,S South Shore Dr,,Chicago,60649,South Shore,Active,Retail,Convenience,False,,,,
Merrill Food,2122,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Convenience,False,,,,
Luella Food Store,2226,,E 79th St,,Chicago,60649,South Shore,Out of Business,Retail,Convenience,False,,,,
D & S Food & Liquor,1650,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Convenience,False,,773-375-1000,,
Jewel Osco,7530,,S Stony Island Ave,,Chicago,60619,South Shore,Active,Retail,Large grocery,False,,773-955-8150,,
Save-A-Lot,7240,,S Stony Island Ave,,Chicago,60619,South Shore,Active,Retail,Large grocery,False,,773-643-4867,,
The Unit Fresh Market,2523,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Small Grocery,False,,773-221-6707,,
Kennedy Fish And Chicken,2425,,E 72nd St,,Chicago,,South Shore,Active,Dining,Fast Food,False,,773-221-1000,,
El Barakah Supermarket,7300,,S South Shore Dr,,Chicago,60649,South Shore,Active,Retail,Small Grocery,False,,773-374-7033,,
Baba Dollar Plus Market,7300,,S Jeffery Ave,,Chicago,60649,South Shore,Out of Business,Retail,Small Grocery,False,,,,
Fairway Foods,2900,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Small Grocery,False,,773-721-3355,,
Big Salem's Food Mart,1724,,E 71st St,St,Chicago,60649,South Shore,Active,Retail,Small Grocery,False,,773-363-7596,,
Crandon Super Market,2238,,E 71st St,St,Chicago,60649,South Shore,Active,Retail,Small Grocery,False,,773-288-7631,,
M & R Prescription Center,1959,,E 71st St,St,Chicago,60649,South Shore,Active,Retail,Drug,False,,773-643-4200,,
Walgreens,7544,,S Stony Island Ave,,Chicago,60649,South Shore,Out of Business,Retail,Drug,False,,773-667-6959,,
Private Moments Inspirational Curtains,2201,,E 67th St,Fl 2,Chicago,60649,South Shore,Unknown,Dining,Restaurant,True,,,,
Walgreens,1533,,E 67th St,,Chicago,60637,South Shore,Active,Retail,Drug,False,,773-493-0733,,
S & K Food & Liquor,7500,,S Exchange Ave,,Chicago,60649,South Shore,Active,Retail,Liquor,False,,312-978-6571,,
Buddies Liquor,1758,,E 79th St,,Chicago,60649,South Shore,Out of Business,Retail,Liquor,False,,773-978-0390,,
Budget Food and Liqour,2504,,E 79th St,Fl 1,Chicago,60649,South Shore,Active,Retail,Liquor,False,,773-375-1709,,
Fashion N Style,6904,,S Stony Island Ave,,Chicago,60637,South Shore,Active,Retail,Clothing,False,,773-684-4110,,
City Sports,2024,,E 71st St,St,Chicago,60649,South Shore,Active,Retail,Clothing,False,,773-241-5771,,
Bedroom Magic Boutique,1536,,E 73rd St,,Chicago,60619,South Shore,Out of Business,Retail,Clothing,True,,773-684-9365,,
Bibi Shabby Chic Boutique,2034,,E 79th St,,Chicago,60649,South Shore,Out of Business,Retail,Clothing,False,,,,
Big Mamas Exchange for Exchange,2807,,E 77th St,,Chicago,60649,South Shore,Active,Retail,Convenience,True,,,,
Walgreens,7109,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Drug,False,,773-324-1880,,
Rainbow Kids,2101,,E 71st St,St Ste E,Chicago,60649,South Shore,Out of Business,Retail,Clothing,False,,773-324-2400,,
Rejoice Christianwear,1955,,E 71st St,,Chicago,60649,South Shore,Out of Business,Retail,Clothing,False,,773-288-4800,,
Rainbow,7131,,S Jeffery Ave,G,Chicago,60649,South Shore,Active,Retail,Clothing,False,,773-752-5685,,
The Shop 147,7225,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Clothing,False,,773-324-9902,,
Sullivan's Fashions,2524,,E 75th St,Fl 1,Chicago,60649,South Shore,Out of Business,Retail,Clothing,False,,773-731-2122,,
K & G Men's Superstore (#0708 Chicago),7540,,S Stony Island Ave,,Chicago,60619,South Shore,Active,Retail,Clothing,False,,773-684-1055,,
Katucha Fashion and More,7856,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Clothing,False,,,,
Kay's Reggae Shop,1964,,E 73rd St,,Chicago,60649,South Shore,Active,Retail,Clothing,False,,,,
One Day At A Time,7350,,S Oglesby Ave,,Chicago,60649,South Shore,Unknown,Retail,Clothing,True,,773-221-8326,,
DTLR,7550,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Clothing,False,,773-643-8573,,
B-Fly,2032,,E 71st St,St,Chicago,60649,South Shore,Active,Retail,Clothing,False,,773-952-4219,,
It's Major,1737,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Clothing,False,,773-241-7600,,
Villa,2101,,E 71st St,Ste D,Chicago,60649,South Shore,Active,Retail,Clothing,False,,773-643-9461,,
No Name,7506,,S Exchange Ave,,Chicago,60620,South Shore,Active,Retail,Clothing,False,,,,
Shoetime,2030,,E 71st St,St,Chicago,60649,South Shore,Out of Business,Retail,Shoes,False,,773-667-9780,,
Modern Shoes,2044,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Shoes,False,,773-947-9848,,
South Shore Gallery and Estate Sales,2156,,E 71st St,,Chicago,60649,South Shore,Out of Business,Retail,Resale,False,,773-363-8770,,
Ynot Repeats,7631,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Resale,False,,773-933-5103,,
Smart Thrift,7810,,S Stony Island Ave,,Chicago,60649,South Shore,Out of Business,Retail,Resale,False,,773-978-5830,,
Chez Vous Up Scale Boutique,1931,,E 71st St,St,Chicago,60649,South Shore,Active,Retail,Resale,False,,773-288-8689,,
Family Dollar,2660,,E 79th St,Ste D,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,773-731-1711,,
Family Dollar,2346,,E 79th St,Unit 50,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,773-768-8369,,
Family Dollar,2159,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,773-324-0015,,
Dollar Express,1425,,E 71st St,St,Chicago,60619,South Shore,Active,Retail,Small mixed,False,,773-324-0498,,
Adam's Food Mart & Cellular,6810,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,773-288-7777,,
Ez Dollar,2429,,E 72nd St,,Chicago,,South Shore,Out of Business,Retail,Small mixed,False,,773-374-7744,,
B.O.T. 2nd Time Around,1355,,E 75th St,,Chicago,60619,South Shore,Out of Business,Retail,Small mixed,False,,773-947-9471,,
A Plus Cellular/ Dollar Market Plus,7336,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,773-955-5900,,
Dollar Station,2100,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,773-947-6920,,
Dollar Tree,7153,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,773-363-0580,,
Dollar Tree,2626,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,,,
Dollar Tree,7158,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Small mixed,False,,,,
Deborah's Clothing,7718,,S Ridgeland Ave,,Chicago,60649,South Shore,Active,Retail,Clothing,True,,773-734-5742,,
Jordan Valley Foods,1976,,E 73rd St,Fl 1,Chicago,60649,South Shore,Active,Retail,Small Grocery,False,,773-288-4749,,
Alleyne Burton's Shop,7111,,S Paxton Ave,,Chicago,60649,South Shore,Out of Business,Retail,Clothing,True,,773-324-8854,,
World Wide Furniture,7340,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Housewares & furnishings,False,,,,
Inline Designs,6846,,S Paxton Ave,Apt 1,Chicago,60649,South Shore,Active,Retail,Housewares & furnishings,True,,773-752-6430,,
Flooring Emporium,2531,,E 73rd St,,Chicago,60649,South Shore,Out of Business,Retail,Housewares & furnishings,True,,,,
Furniture and Mattress Liquidators,1441,,E 75th St,,Chicago,60619,South Shore,Active,Retail,Housewares & furnishings,False,,,,
Jeffro Furniture,1943,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Housewares & furnishings,False,,773-955-8484,,
Metro Hardware,2260,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Hardware,False,,773-734-3990,,
Do It Best Wilson Brothers Paint and Hardware,1914,,E 71st St,,Chicago,60649,South Shore,Out of Business,Retail,Hardware,False,,773-363-9066,,
True Value,2538,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Hardware,False,,,,
Ralph's Heating and Air Conditioning,2714,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Hardware,False,,773-375-4600,,
Scarfs by Ann,7739,,S Jeffery Ave,,Chicago,60649,South Shore,Out of Business,Retail,Beauty-Accessory,True,,773-221-9397,,
Royal Wigs,2048,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,False,,773-752-5115,,
Momadou Jewelry,1818,,E 72nd St,,Chicago,,South Shore,Active,Retail,Beauty-Accessory,True,,773-407-2779,,
Trendsetter Lace Wigs,7652,,S Colfax Ave,Unit 2,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,True,,773-851-1677,,
Sun Jewelry,7131,,S Jeffery Ave,K1,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,False,,773-667-1717,,
The Scentuary,2154,,E 71st St,,Chicago,60649,South Shore,Out of Business,Retail,Beauty-Accessory,False,,773-643-1425,,
Star Beauty Supply,7350,,S Stony Island Ave,,Chicago,60649,South Shore,Out of Business,Retail,Beauty-Accessory,False,,773-684-9361,,
Hats by Lola,1754,,E 73rd St,,Chicago,60649,South Shore,Out of Business,Retail,Beauty-Accessory,True,,773-363-8034,,
Nine Essential and More,7142,,S Exchange Ave,,Chicago,60649,South Shore,Out of Business,Retail,Beauty-Accessory,False,,773-731-2722,,
Jazz Beauty Supply,2660,,E 79th St,Ste C,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,False,,773-933-0125,,
Value Beauty Supply,2357,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,False,,773-768-8245,,
Beauty Connection,2006,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,False,,773-643-4700,,
Beauty Connection,7047,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,False,,773-643-4700,,
Cosmo Beauty Supply,2623,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Beauty-Accessory,False,,773-734-2900,,
Cosmo Discount,6820,,S Stony Island Ave,,Chicago,60637,South Shore,Active,Retail,Beauty-Accessory,False,,773-363-7890,,
Cricket,7131,,S Jeffery Ave,C,Chicago,60649,South Shore,Active,Retail,Phones,False,,,,
Cricket,6722,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Phones,False,,773-891-4130,,
Crystal Clear Electronic Communications,1753,,E 67th St,,Chicago,60649,South Shore,Out of Business,Retail,Phones,True,,773-288-2649,,
Boost Mobile,2042,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Phones,False,,773-667-8500,,
Boost Mobile,1954,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Phones,False,,,,
1-Mobile,7106,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Phones,False,,773-752-7000,,
Air 1 Communication and Accessories,2824,,E 79th St,,Chicago,60649,South Shore,Out of Business,Retail,Phones,False,,773-734-4950,,
Wilson Communication,2052,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Phones,False,,773-363-7414,,
MetroPCS,1916,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Phones,False,,,,
MetroPCS,7122,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Phones,False,,,,
MetroPCS,2660,,E 79th St,A2,Chicago,60649,South Shore,Active,Retail,Phones,False,,773-359-2253,,
The Connect,1534,,E 75th St,,Chicago,60619,South Shore,Active,Retail,Phones,False,,773-324-9490,,
One Two Three Connect,2401,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Phones,False,,773-731-0708,,
Radioshack,7131,,S Jeffery Ave,H,Chicago,60649,South Shore,Active,Retail,Electronics & appliances,False,,773-643-0080,,
Landlord Depot,1643,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Electronics & appliances,False,,773-752-3538,,
A & B Furniture,1737,,E 75th St,,Chicago,60649,South Shore,Out of Business,Retail,Electronics & appliances,False,,,,
Appliance Discount Center,2047,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Electronics & appliances,False,,773-752-4141,,
Labrosphil Foreign Cars,7220,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Retail,Car-truck-motorcycle,True,,,,
Dunmore Auto Sales,7320,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Car-truck-motorcycle,False,,773-667-9400,,
Rjs Emergency Auto Alarm,2712,,E 77th St,,Chicago,60649,South Shore,Unknown,Retail,Auto Supply,True,,,,
Superior Tire,7683,,S South Chicago Ave,,Chicago,60619,South Shore,Active,Retail,Auto Supply,False,,,,
Autozone,7600,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Auto Supply,False,,773-978-1744,,
Advance Auto Parts,7118,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Auto Supply,False,,,,
Amstar,2352,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,773-374-0617,,
BP,7448,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,773-955-4596,,
BP,7603,,S South Chicago Ave,,Chicago,60619,South Shore,Active,Retail,Gas station,False,,773-374-4428,,
Mobil,6700,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,773-324-1633,,
All Star,2310,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,,,
Shell,7001,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,,,
Midwest,1932,,E 75th St,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,,,
Fuel Star,7601,,S Jeffery Ave,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,,,
Golo,7600,,S Exchange Ave,,Chicago,60649,South Shore,Active,Retail,Gas station,False,,773-221-8007,,
Herbert's Handcrafts,1954,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Gift-art-ethnic,False,,773-721-3803,,
Expressions,2210,,E 69th St,,Chicago,,South Shore,Active,Retail,Gift-art-ethnic,True,,,,
Leauasis Gallery of Art,7428,,S Yates Blvd,,Chicago,60649,South Shore,Out of Business,Retail,Gift-art-ethnic,True,,773-437-4389,,
Mos Artware and Gifts,7424,,S South Shore Dr,,Chicago,60649,South Shore,Out of Business,Retail,Gift-art-ethnic,True,,773-768-6322,,
South Shore Gift Shop,1972,,E 73rd St,,Chicago,60649,South Shore,Out of Business,Retail,Gift-art-ethnic,False,,,,
Studio 71,1834,,E 71st St,,Chicago,60649,South Shore,Active,Retail,Gift-art-ethnic,False,,773-324-5904,,
Zambezi Progressive Art,7663,,S South Chicago Ave,,Chicago,60619,South Shore,Active,Retail,Gift-art-ethnic,False,,773-734-2718,,
All Eyes on Egypt Bookstore,7851,,S Ridgeland Ave,,Chicago,60649,South Shore,Active,Retail,Gift-art-ethnic,False,,773-768-9042,,
Gamestop,7131,,S Jeffery Ave,1,Chicago,60649,South Shore,Active,Retail,Toys,False,,773-363-7510,,
The Music Experience,1959,2017-01-02,E 73rd St,Unit 1,Chicago,60649,South Shore,Active,Retail,Other,True,,,,
Why Not Vending,6909,,S Crandon Ave,,Chicago,60649,South Shore,Out of Business,Retail,Other,True,,312-450-1764,,
BK Records and Entertainment,2452,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Other,False,,773-221-7664,,
B & J Group,2032,,E 79th St,,Chicago,60649,South Shore,Active,Retail,Other,False,,773-374-1700,,
Bicycles,7437,,S Baldwin Ave,,Chicago,,South Shore,Out of Business,Retail,Other,True,,773-305-7409,,
Car X Muffler and Brake,7424,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-493-6500,,
Flickin,2824,,E 79th St,,Chicago,60649,South Shore,Out of Business,Trade Service,Vehicle services,False,,773-734-4950,,
Hand Car Wash,1724,,E 75th St,,Chicago,60649,South Shore,Out of Business,Trade Service,Vehicle services,False,,773-641-6000,,
King's Auto Repair,1500,,E 75th St,,Chicago,60619,South Shore,Active,Trade Service,Vehicle services,False,,773-955-0704,,
Kar Kare Service,7455,,S Exchange Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-721-2401,,
Melbar Foreign Cars,1401,,E 71st St,,Chicago,60619,South Shore,Active,Trade Service,Vehicle services,False,,773-363-7292,,
Quality Hand Car Wash,7215,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-752-9274,,
Midas,7419,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-667-1111,,
Midas,7257,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-614-1610,,
Pro Wheels Tire Warehouse,2206,,E 75th St,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-731-4466,,
Roseco Auto Rebuilders,7410,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-493-4081,,
Self Service Car Wash,1701,,E 75th St,,Chicago,60649,South Shore,Out of Business,Trade Service,Vehicle services,False,,,,
Stop Shop,2054,,E 79th St,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-734-9674,,
The Pit Stop 500,7000,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-667-7222,,
Transaction Automotive,1533,,E 71st St,,Chicago,60619,South Shore,Out of Business,Trade Service,Vehicle services,False,,773-643-8887,,
Windy City Engine & Parts,7700,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Vehicle services,False,,773-721-7373,,
USA Roofing and Construction,7444,,S Kimbark Ave,Apt 1,Chicago,60619,South Shore,Active,Trade Service,Building trades,True,,773-643-1000,,
Ujamaa Construction,7744,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,False,,773-374-1300,,
Universal Heating and Cooling,7836,,S Yates Blvd,,Chicago,60649,South Shore,Active,Trade Service,Building trades,True,,,,
Tubz Done Right Kitchen Bathroom Refinishing,6711,,S Cregier Ave,Apt 1A,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,,,
Taylor Electric Company,7811,,S Stony Island Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,False,,773-346-5658,,
South Shore Construction Company,7834,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Trade Service,Building trades,True,,,,
South Shore Plumbing & Heating,7256,,S Exchange Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,False,,773-374-8866,,
Sims Properties Development and Management,6920,,S South Shore Dr,,Chicago,60649,South Shore,Active,Trade Service,Building trades,True,,773-752-9000,,
Rudy's Home Improvement,2915,,E 78th St,Apt 1B,Chicago,,South Shore,Active,Trade Service,Building trades,True,,,,
Ridgeway Paving Construction,7052,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Trade Service,Building trades,True,,773-324-0267,,
Morgan And Morgan Rehabbers,7528,,S Merrill Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Building trades,True,,,,
Oglesby Home Building,6740,,S Oglesby Ave,Apt 2,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,773-947-9116,,
Pipkins Electric,7130,,S Jeffery Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,773-463-6249,,
Kgs Building Services,7540,,S Oglesby Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Building trades,True,,,,
Hyland A Nolan Plastering Company,7408,,S Exchange Ave,,Chicago,60649,South Shore,Active,Trade Service,Building trades,False,,773-731-5030,,
Hay Mac Plumbers,7135,,S Paxton Ave,,Chicago,60649,South Shore,Out of Business,Trade Service,Building trades,True,,773-643-3289,,
Jenkins Electrical Contractors,7300,,S South Shore Dr,,Chicago,60649,South Shore,Unknown,Trade Service,Building trades,True,,773-406-8803,,
H&H Contractors,6921,,S Merrill Ave,,Chicago,60649,South Shore,Unknown,Trade Service,Building trades,True,,773-425-8416,,
Gem Energy Group,2860,,E 76th St,,Chicago,60649,South Shore,Unknown,Trade Service,Building trades,True,,,,
